manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
TC Electronic,System 6000,,Fader 1 (14-bit),Double (14-bit) precision,16,48,0,127,,,,,,,0-based,Send the LSB before the MSB; the MSB commits the value,
TC Electronic,System 6000,,Fader 2 (14-bit),Double (14-bit) precision,17,49,0,127,,,,,,,0-based,Send the LSB before the MSB; the MSB commits the value,
TC Electronic,System 6000,,Fader 3 (14-bit),Double (14-bit) precision,18,50,0,127,,,,,,,0-based,Send the LSB before the MSB; the MSB commits the value,
TC Electronic,System 6000,,Fader 4 (14-bit),Double (14-bit) precision,19,51,0,127,,,,,,,0-based,Send the LSB before the MSB; the MSB commits the value,
TC Electronic,System 6000,,Fader 5 (14-bit),Double (14-bit) precision,20,52,0,127,,,,,,,0-based,Send the LSB before the MSB; the MSB commits the value,
TC Electronic,System 6000,,Fader 6 (14-bit),Double (14-bit) precision,21,53,0,127,,,,,,,0-based,Send the LSB before the MSB; the MSB commits the value,
TC Electronic,System 6000,,Fader 1,Single (7-bit) precision,70,,0,127,,,,,,,0-based,For 14-bit precision use CC 16 (MSB) with CC 48 (LSB); the LSB must be sent first,
TC Electronic,System 6000,,Fader 2,Single (7-bit) precision,71,,0,127,,,,,,,0-based,For 14-bit precision use CC 17 (MSB) with CC 49 (LSB); the LSB must be sent first,
TC Electronic,System 6000,,Fader 3,Single (7-bit) precision,72,,0,127,,,,,,,0-based,For 14-bit precision use CC 18 (MSB) with CC 50 (LSB); the LSB must be sent first,
TC Electronic,System 6000,,Fader 4,Single (7-bit) precision,73,,0,127,,,,,,,0-based,For 14-bit precision use CC 19 (MSB) with CC 51 (LSB); the LSB must be sent first,
TC Electronic,System 6000,,Fader 5,Single (7-bit) precision,74,,0,127,,,,,,,0-based,For 14-bit precision use CC 20 (MSB) with CC 52 (LSB); the LSB must be sent first,
TC Electronic,System 6000,,Fader 6,Single (7-bit) precision,75,,0,127,,,,,,,0-based,For 14-bit precision use CC 21 (MSB) with CC 53 (LSB); the LSB must be sent first,
