manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes
Novation,Circuit,Voice,Polyphony Mode,sysex patch address: 32,3,,0,2,,,,,0-based,0: Mono; 1: Mono AG; 2: Poly
Novation,Circuit,Voice,Portamento Rate,sysex patch address: 33,5,,0,127,,,,,0-based,
Novation,Circuit,Voice,Pre-Glide,sysex patch address: 34,9,,52,76,,,,,Centered,
Novation,Circuit,Voice,Keyboard Octave,sysex patch address: 35,13,,58,69,,,,,Centered,60: -4 Octaves; 64: 0 Octaves; 68: +4 Octaves
Novation,Circuit,Oscillator,osc 1 wave,sysex patch address: 36,19,,0,29,,,,,0-based,0: sine; 1: triangle; 2: sawtooth; 3: saw 9-1 PW; 4: saw 8-2 PW; 5: saw 7-3 PW; 6: saw 6-4 PW; 7: saw 5-5 PW; 8: saw 4-6 PW; 9: saw 3-7 PW; 10: saw 2-8 PW; 11: saw 1-9 PW; 12: pulse width; 13: square; 14: sine table; 15: analogue pulse; 16: analogue sync; 17: triangle-saw blend; 18: digital nasty 1; 19: digital nasty 2; 20: digital saw-square; 21: digital vocal 1; 22: digital vocal 2; 23: digital vocal 3; 24: digital vocal 4; 25: digital vocal 5; 26: digital vocal 6; 27: random collection 1; 28: random collection 2; 29: random collection 3
Novation,Circuit,Oscillator,osc 1 wave interpolate,sysex patch address: 37,20,,0,127,,,,,0-based,
Novation,Circuit,Oscillator,osc 1 pulse width index,sysex patch address: 38,21,,0,127,,,,,Centered,
Novation,Circuit,Oscillator,osc 1 virtual sync depth,sysex patch address: 39,22,,0,127,,,,,0-based,
Novation,Circuit,Oscillator,osc 1 density,sysex patch address: 40,24,,0,127,,,,,0-based,
Novation,Circuit,Oscillator,osc 1 density detune,sysex patch address: 41,25,,0,127,,,,,0-based,
Novation,Circuit,Oscillator,osc 1 semitones,sysex patch address: 42,26,,0,127,,,,,Centered,
Novation,Circuit,Oscillator,osc 1 cents,sysex patch address: 43,27,,0,127,,,,,Centered,
Novation,Circuit,Oscillator,osc 1 pitchbend,sysex patch address: 44,28,,52,76,,,,,Centered,
Novation,Circuit,Oscillator,osc 2 wave,sysex patch address: 45,29,,0,29,,,,,0-based,0: sine; 1: triangle; 2: sawtooth; 3: saw 9-1 PW; 4: saw 8-2 PW; 5: saw 7-3 PW; 6: saw 6-4 PW; 7: saw 5-5 PW; 8: saw 4-6 PW; 9: saw 3-7 PW; 10: saw 2-8 PW; 11: saw 1-9 PW; 12: pulse width; 13: square; 14: sine table; 15: analogue pulse; 16: analogue sync; 17: triangle-saw blend; 18: digital nasty 1; 19: digital nasty 2; 20: digital saw-square; 21: digital vocal 1; 22: digital vocal 2; 23: digital vocal 3; 24: digital vocal 4; 25: digital vocal 5; 26: digital vocal 6; 27: random collection 1; 28: random collection 2; 29: random collection 3
Novation,Circuit,Oscillator,osc 2 wave interpolate,sysex patch address: 46,30,,0,127,,,,,0-based,
Novation,Circuit,Oscillator,osc 2 pulse width index,sysex patch address: 47,31,,0,127,,,,,Centered,
Novation,Circuit,Oscillator,osc 2 virtual sync depth,sysex patch address: 48,33,,0,127,,,,,0-based,
Novation,Circuit,Oscillator,osc 2 density,sysex patch address: 49,35,,0,127,,,,,0-based,
Novation,Circuit,Oscillator,osc 2 density detune,sysex patch address: 50,36,,0,127,,,,,0-based,
Novation,Circuit,Oscillator,osc 2 semitones,sysex patch address: 51,37,,0,127,,,,,Centered,
Novation,Circuit,Oscillator,osc 2 cents,sysex patch address: 52,39,,0,127,,,,,Centered,
Novation,Circuit,Oscillator,osc 2 pitchbend,sysex patch address: 53,40,,52,76,,,,,Centered,
Novation,Circuit,Mixer,osc 1 level,sysex patch address: 54,51,,0,127,,,,,0-based,
Novation,Circuit,Mixer,osc 2 level,sysex patch address: 55,52,,0,127,,,,,0-based,
Novation,Circuit,Mixer,ring mod level,sysex patch address: 56,54,,0,127,,,,,0-based,
Novation,Circuit,Mixer,noise level,sysex patch address: 57,56,,0,127,,,,,0-based,
Novation,Circuit,Mixer,pre FX level,sysex patch address: 58,58,,52,82,,,,,Centered,-12 to +18 dB
Novation,Circuit,Mixer,post FX level,sysex patch address: 59,59,,52,82,,,,,Centered,-12 to +18 dB
Novation,Circuit,Filter,routing,sysex patch address: 60,60,,0,2,,,,,0-based,0: Normal; 1: Osc 1 bypasses the filter;  2: Osc 1 + Osc 2 bypasses the filter
Novation,Circuit,Filter,drive,sysex patch address: 61,63,,0,127,,,,,0-based,
Novation,Circuit,Filter,drive type,sysex patch address: 62,65,,0,6,,,,,0-based,0: diode; 1: valve; 2: clipper; 3: cross-over; 4: rectifier; 5: bit reducer; 6: rate reducer
Novation,Circuit,Filter,type,sysex patch address: 63,68,,0,5,,,,,0-based,0: low pass 12dB; 1: low pass 24dB; 2: band pass 6/\6dB; 3: band pass 12/\12 dB; 4: high pass 12dB; 5: high pass 24dB
Novation,Circuit,Filter,frequency,sysex patch address: 64,74,,0,127,,,,,0-based,
Novation,Circuit,Filter,tracking,sysex patch address: 65,69,,0,127,,,,,0-based,
Novation,Circuit,Filter,resonance,sysex patch address: 66,71,,0,127,,,,,0-based,
Novation,Circuit,Filter,Q normalise,sysex patch address: 67,78,,0,127,,,,,0-based,
Novation,Circuit,Filter,env 2 to frequency,sysex patch address: 68,79,,0,127,,,,,Centered,
Novation,Circuit,Envelope,env 1 velocity,sysex patch address: 69,108,,0,127,,,,,Centered,
Novation,Circuit,Envelope,env 1 attack,sysex patch address: 70,73,,0,127,,,,,0-based,
Novation,Circuit,Envelope,env 1 decay,sysex patch address: 71,75,,0,127,,,,,0-based,
Novation,Circuit,Envelope,env 1 sustain,sysex patch address: 72,70,,0,127,,,,,0-based,
Novation,Circuit,Envelope,env 1 release,sysex patch address: 73,72,,0,127,,,,,0-based,
Novation,Circuit,Envelope,env 2 velocity,sysex patch address: 74,,,,,0,0,0,127,Centered,
Novation,Circuit,Envelope,env 2 attack,sysex patch address: 75,,,,,0,1,0,127,0-based,
Novation,Circuit,Envelope,env 2 decay,sysex patch address: 76,,,,,0,2,0,127,0-based,
Novation,Circuit,Envelope,env 2 sustain,sysex patch address: 77,,,,,0,3,0,127,0-based,
