manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Vermona,DRM1 MKIV,General,Kick,,10,36,36,36,,1~127: Accent level
Vermona,DRM1 MKIV,General,Drum 1,,10,45,45,45,,1~127: Accent level
Vermona,DRM1 MKIV,General,Drum 2,,10,50,50,50,,1~127: Accent level
Vermona,DRM1 MKIV,General,Multi,,10,56,56,56,,1~127: Accent level
Vermona,DRM1 MKIV,General,Snare,,10,38,38,38,,1~127: Accent level
Vermona,DRM1 MKIV,General,Hihat 1 closed,,10,44,44,44,,1~127: Accent level
Vermona,DRM1 MKIV,General,Hihat 1 open / cymbal,,10,46,46,46,,1~127: Accent level
Vermona,DRM1 MKIV,General,Hihat 2 closed,,10,49,49,49,,1~127: Accent level
Vermona,DRM1 MKIV,General,Hihat 2 open / cymbal,,10,51,51,51,,1~127: Accent level
Vermona,DRM1 MKIV,General,Clap,,10,39,39,39,,1~127: Accent level
