manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 059,,59,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 060,,60,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 061,,61,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 062,,62,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 063,,63,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 064,,64,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 065,,65,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 066,,66,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 067,,67,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 068,,68,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 069,,69,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 070,,70,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 071,,71,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 072,,72,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 073,,73,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 074,,74,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 075,,75,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 076,,76,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 077,,77,,0,127,,,,,,,0-based,,
