manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes
Dave Smith Instruments,OB-6,General,Bank select,,0,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Mod wheel,,1,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,BPM,,3,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Foot controller,,4,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Portamento time,,5,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Data entry,,6,38,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,MIDI volume,,7,39,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Sound,Sub octave level,,8,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Sound,Distortion amount,,9,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,VCA envelope,VCA envelope amount,,40,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,VCA envelope,VCA envelope velocity amount,,41,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,VCA envelope,VCA envelope attack,,43,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,VCA envelope,VCA envelope decay,,44,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,VCA envelope,VCA envelope sustain,,45,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,VCA envelope,VCA envelope release,,46,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Filter,Filter envelope amount,,47,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Filter,Filter envelope attack,,50,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Filter,Filter envelope decay,,51,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Filter,Filter envelope sustain,,52,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Filter,Filter envelope release,,53,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Arpeggiator,Arpeggiator on/off,,58,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Arpeggiator,Arpeggiator mode,,59,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Arpeggiator,Arpeggiator octave,,60,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Arpeggiator,Arpeggiator clock division,,62,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Damper pedal,,64,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Portamento on/off,,65,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Oscillator 1,Oscillator 1 frequency,,67,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Oscillator 1,Oscillator 1 level,,69,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Oscillator 1,Oscillator 1 shape,,70,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Oscillator 1,Oscillator 1 pulse width,,71,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Brightness,,74,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Oscillator 2,Oscillator 2 frequency,,75,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Oscillator 2,Oscillator 2 detune,,76,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Oscillator 2,Oscillator 2 level,,77,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Oscillator 2,Oscillator 2 shape,,78,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Oscillator 2,Oscillator 2 pulse width,,79,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Data increment,,96,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Data decrement,,97,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Filter,Filter frequency,,102,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Filter,Filter resonance,,103,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Filter,Filter key amount,,104,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Filter,Filter velocity on/off,,105,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Filter,Filter mode,,106,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,Filter,Band pass on/off,,107,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,All sounds off,,120,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Reset controllers,,121,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Local control on/off,,122,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,All notes off,,123,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Omni mode off,,124,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Omni mode on,,125,,0,127,,,,,0-based,
Dave Smith Instruments,OB-6,General,Poly mode on,,127,,0,127,,,,,0-based,
