manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
IK Multimedia,UNO Drum,Element mapping,Kick 1,,10,36,36,36,,
IK Multimedia,UNO Drum,Element mapping,Kick 2,,10,35,35,35,,
IK Multimedia,UNO Drum,Element mapping,Snare,,10,38,38,38,The snare responds to both note 38 and note 40.,
IK Multimedia,UNO Drum,Element mapping,Snare,,10,40,40,40,The snare responds to both note 38 and note 40.,
IK Multimedia,UNO Drum,Element mapping,Clap,,10,39,39,39,,
IK Multimedia,UNO Drum,Element mapping,Rim,,10,37,37,37,,
IK Multimedia,UNO Drum,Element mapping,Closed hat,,10,42,42,42,,
IK Multimedia,UNO Drum,Element mapping,Open hat,,10,46,46,46,,
IK Multimedia,UNO Drum,Element mapping,Tom 1,,10,41,41,41,,
IK Multimedia,UNO Drum,Element mapping,Tom 2,,10,43,43,43,,
IK Multimedia,UNO Drum,Element mapping,Cymbal,,10,49,49,49,,
IK Multimedia,UNO Drum,Element mapping,Ride,,10,51,51,51,,
IK Multimedia,UNO Drum,Element mapping,Cowbell,,10,56,56,56,,
