manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Roland,System-8,Filter,Filter type,,108,,0,127,,,,,0-based,
Roland,System-8,General,Mod sens filter,,109,,0,127,,,,,0-based,
Roland,System-8,Mix,Amp level,,110,,0,127,,,,,0-based,
Roland,System-8,Oscillators,Osc2 ring,,111,,0,127,,,,,0-based,,0: Off; 127: On
Roland,System-8,Oscillators,Osc2 sync,,112,,0,127,,,,,0-based,,0: Off; 127: On
Roland,System-8,General,Mixer noise type,,114,,0,127,,,,,0-based,,0: Pink; 127: White
Roland,System-8,General,Legato,,116,,0,127,,,,,0-based,,0: Off; 127: On
Roland,System-8,LFO,Lfo key trig,,117,,0,127,,,,,0-based,,0: Off; 127: On
Roland,System-8,General,Tempo sync,,118,,0,127,,,,,0-based,,0: Off; 127: On
Roland,System-8,General,Mono,,119,,0,127,,,,,0-based,,0: Mono; 64: Uni; 127: Poly
