manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes
Roland,System-1,All CCs,Mod,,1,,0,127,,,,,0-based,"0=OFF,127=ON"
Roland,System-1,All CCs,Lpf cutoff,,3,,0,127,,,,,0-based,
Roland,System-1,All CCs,Portamneto,,5,,0,127,,,,,0-based,
Roland,System-1,All CCs,Reso,,9,,0,127,,,,,0-based,
Roland,System-1,All CCs,Pedal control,,11,,0,127,,,,,0-based,
Roland,System-1,All CCs,Amp crusher,,12,,0,127,,,,,0-based,
Roland,System-1,All CCs,Delay time,,13,,0,127,,,,,0-based,
Roland,System-1,All CCs,Mixer osc1,,16,,0,127,,,,,0-based,
Roland,System-1,All CCs,Mixer osc2,,17,,0,127,,,,,0-based,
Roland,System-1,All CCs,Mixer sub osc,,18,,0,127,,,,,0-based,
Roland,System-1,All CCs,Mixer noise,,19,,0,127,,,,,0-based,
Roland,System-1,All CCs,Pitch env,,22,,0,127,,,,,0-based,
Roland,System-1,All CCs,Pitch attack,,23,,0,127,,,,,0-based,
Roland,System-1,All CCs,Pitch decay,,24,,0,127,,,,,0-based,
Roland,System-1,All CCs,Lfo pitch,,26,,0,127,,,,,Centered,
Roland,System-1,All CCs,Lfo fade time,,27,,0,127,,,,,0-based,
Roland,System-1,All CCs,Lfo filter,,28,,0,127,,,,,Centered,
Roland,System-1,All CCs,Lfo rate,,29,,0,127,,,,,0-based,
Roland,System-1,All CCs,Lfo amp,,30,,0,127,,,,,Centered,
Roland,System-1,All CCs,Lfo type,,35,,0,127,,,,,0-based,"0=SIN, 25=TRI, 51=SAW, 76=SQU, 102=S&H, 127=DIGI"
Roland,System-1,All CCs,Osc1 type (CC105 = 0),,46,,0,127,,,,,0-based,"0=SAW, 25=SQU, 51=TRI, 76=SAW2, 102=SQU2, 127=TRI2"
Roland,System-1,All CCs,Osc1 type (CC105 = 1),,46,,0,127,,,,,0-based,"0=NoiseSAW, 25=LOGIC, 51=FM, 76=FM+SYNC, 102=VOWEL, 127=CB"
Roland,System-1,All CCs,Osc1 range,,47,,0,127,,,,,0-based,"0=64', 25=32', 51=16',76=8', 102=4', 127=2'"
Roland,System-1,All CCs,Osc1 color,,50,,0,127,,,,,0-based,
Roland,System-1,All CCs,Osc1 cross mod,,52,,0,127,,,,,0-based,
Roland,System-1,All CCs,Osc2 color,,55,,0,127,,,,,0-based,
Roland,System-1,All CCs,Osc2 tune,,56,,0,127,,,,,Centered,
Roland,System-1,All CCs,Osc1 mod,,60,,0,127,,,,,0-based,"0=MAN, 25=LFO, 51=P.Env, 76=F.Env, 102=A.Env, 127=S.Osc"
Roland,System-1,All CCs,Osc2 type (CC106 = 0),,61,,0,127,,,,,0-based,"0=SAW, 25=SQU, 51=TRI, 76=SAW2, 102=SQU2, 127=TRI2"
Roland,System-1,All CCs,Osc2 type (CC106 = 1),,61,,0,127,,,,,0-based,"0=NoiseSAW, 25=LOGIC, 51=FM, 76=FM+SYNC, 102=VOWEL, 127=CB"
Roland,System-1,All CCs,Osc2 range,,62,,0,127,,,,,0-based,"0=64', 25=32', 51=16',76=8', 102=4', 127=2'"
Roland,System-1,All CCs,Osc2 mod,,63,,0,127,,,,,0-based,"0=MAN, 25=LFO, 51=P.Env, 76=F.Env, 102=A.Env, 127=S.Osc"
Roland,System-1,All CCs,Pedal hold,,64,,0,127,,,,,0-based,"<63=OFF, >64=ON"
Roland,System-1,All CCs,Amp tone,,69,,0,127,,,,,Centered,
Roland,System-1,All CCs,Hpf cutoff,,79,,0,127,,,,,0-based,
Roland,System-1,All CCs,Filter env,,81,,0,127,,,,,Centered,
Roland,System-1,All CCs,Filter key,,82,,0,127,,,,,Centered,
Roland,System-1,All CCs,Filter attack,,83,,0,127,,,,,0-based,
Roland,System-1,All CCs,Filter decay,,84,,0,127,,,,,0-based,
Roland,System-1,All CCs,Filter sustain,,85,,0,127,,,,,0-based,
Roland,System-1,All CCs,Filter release,,86,,0,127,,,,,0-based,
Roland,System-1,All CCs,Amp attack,,89,,0,127,,,,,0-based,
Roland,System-1,All CCs,Amp decay,,90,,0,127,,,,,0-based,
Roland,System-1,All CCs,Reverb,,91,,0,127,,,,,0-based,
Roland,System-1,All CCs,Delay,,94,,0,127,,,,,0-based,
Roland,System-1,All CCs,Amp sustain,,96,,0,127,,,,,0-based,
Roland,System-1,All CCs,Amp release,,97,,0,127,,,,,0-based,
Roland,System-1,All CCs,Osc1 variant toggle,,105,,0,1,,,,,0-based,"0=STD,1=ALT"
Roland,System-1,All CCs,Osc2 variant toggle,,106,,0,1,,,,,0-based,"0=STD,1=ALT"
Roland,System-1,All CCs,Osc2 ring,,111,,0,127,,,,,0-based,"0=OFF,127=ON"
Roland,System-1,All CCs,Osc2 sync,,112,,0,127,,,,,0-based,"0=OFF,127=ON"
Roland,System-1,All CCs,Mixer osc type,,113,,0,127,,,,,0-based,"0=2Oct,127=1Oct"
Roland,System-1,All CCs,Mixer noise type,,114,,0,127,,,,,0-based,"0=Pink,127=White"
Roland,System-1,All CCs,Filter type,,115,,0,127,,,,,0-based,"0=24db,127=12db"
Roland,System-1,All CCs,Legato,,116,,0,127,,,,,0-based,"0=OFF,127=ON"
Roland,System-1,All CCs,Lfo key trigger,,117,,0,127,,,,,0-based,"0=OFF,127=ON"
Roland,System-1,All CCs,Tempo sync,,118,,0,127,,,,,0-based,"0=OFF,127=ON"
Roland,System-1,All CCs,Mono,,119,,0,127,,,,,0-based,"0=MONO, 64=Uni, 127=Poly"
