manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Roland,TR-8,7X7-TR8 not installed,Bass drum,,10,35,35,35,,
Roland,TR-8,7X7-TR8 not installed,Bass drum,,10,36,36,36,,
Roland,TR-8,7X7-TR8 not installed,Snare drum,,10,38,38,38,,
Roland,TR-8,7X7-TR8 not installed,Snare drum,,10,40,40,40,,
Roland,TR-8,7X7-TR8 not installed,Low tom,,10,41,41,41,,
Roland,TR-8,7X7-TR8 not installed,Low tom,,10,43,43,43,,
Roland,TR-8,7X7-TR8 not installed,Mid tom,,10,45,45,45,,
Roland,TR-8,7X7-TR8 not installed,Mid tom,,10,47,47,47,,
Roland,TR-8,7X7-TR8 not installed,High tom,,10,48,48,48,,
Roland,TR-8,7X7-TR8 not installed,High tom,,10,50,50,50,,
Roland,TR-8,7X7-TR8 not installed,Rim shot,,10,37,37,37,,
Roland,TR-8,7X7-TR8 not installed,Hand clap,,10,39,39,39,,
Roland,TR-8,7X7-TR8 not installed,Closed hi-hat,,10,42,42,42,,
Roland,TR-8,7X7-TR8 not installed,Closed hi-hat,,10,44,44,44,,
Roland,TR-8,7X7-TR8 not installed,Open hi-hat,,10,46,46,46,,
Roland,TR-8,7X7-TR8 not installed,Crash cymbal,,10,49,49,49,,
Roland,TR-8,7X7-TR8 not installed,Ride cymbal,,10,51,51,51,,
Roland,TR-8,7X7-TR8 installed,Bass drum,,10,36,36,36,Instrument names are those of the 707 set; they differ depending on the selected instrument set.,
Roland,TR-8,7X7-TR8 installed,Snare drum,,10,38,38,38,Instrument names are those of the 707 set; they differ depending on the selected instrument set.,
Roland,TR-8,7X7-TR8 installed,Low tom,,10,43,43,43,Instrument names are those of the 707 set; they differ depending on the selected instrument set.,
Roland,TR-8,7X7-TR8 installed,Mid tom,,10,47,47,47,Instrument names are those of the 707 set; they differ depending on the selected instrument set.,
Roland,TR-8,7X7-TR8 installed,High tom,,10,50,50,50,Instrument names are those of the 707 set; they differ depending on the selected instrument set.,
Roland,TR-8,7X7-TR8 installed,Rim shot,,10,37,37,37,Instrument names are those of the 707 set; they differ depending on the selected instrument set.,
Roland,TR-8,7X7-TR8 installed,Hand clap,,10,39,39,39,Instrument names are those of the 707 set; they differ depending on the selected instrument set.,
Roland,TR-8,7X7-TR8 installed,Closed hi-hat,,10,42,42,42,Instrument names are those of the 707 set; they differ depending on the selected instrument set.,
Roland,TR-8,7X7-TR8 installed,Open hi-hat,,10,46,46,46,Instrument names are those of the 707 set; they differ depending on the selected instrument set.,
Roland,TR-8,7X7-TR8 installed,Crash cymbal,,10,49,49,49,Instrument names are those of the 707 set; they differ depending on the selected instrument set.,
Roland,TR-8,7X7-TR8 installed,Ride cymbal,,10,51,51,51,Instrument names are those of the 707 set; they differ depending on the selected instrument set.,
Roland,TR-8,7X7-TR8 installed,Bass drum 2,,10,35,35,35,"Alternate instrument, available only with the 7X7-TR8 expansion. Instrument names are those of the 707 set; they differ depending on the selected instrument set.",
Roland,TR-8,7X7-TR8 installed,Snare drum 2,,10,40,40,40,"Alternate instrument, available only with the 7X7-TR8 expansion. Instrument names are those of the 707 set; they differ depending on the selected instrument set.",
Roland,TR-8,7X7-TR8 installed,Tambourine,,10,54,54,54,"Alternate instrument, available only with the 7X7-TR8 expansion. Instrument names are those of the 707 set; they differ depending on the selected instrument set.",
Roland,TR-8,7X7-TR8 installed,Cow bell,,10,56,56,56,"Alternate instrument, available only with the 7X7-TR8 expansion. Instrument names are those of the 707 set; they differ depending on the selected instrument set.",
