manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Jomox,Alpha Base,Instrument channels,Kick Drum,The note number is added to the instrument's pitch; C1 (36) is the basic internal tuning.,1,36,97,36,,
Jomox,Alpha Base,Instrument channels,Snare Drum,The note number is added to the instrument's pitch; C1 (36) is the basic internal tuning.,2,36,97,36,,
Jomox,Alpha Base,Instrument channels,Closed Hi Hat,The note number is added to the instrument's pitch; C1 (36) is the basic internal tuning.,3,36,97,36,,
Jomox,Alpha Base,Instrument channels,Open Hi Hat,The note number is added to the instrument's pitch; C1 (36) is the basic internal tuning.,4,36,97,36,,
Jomox,Alpha Base,Instrument channels,Clap,The note number is added to the instrument's pitch; C1 (36) is the basic internal tuning.,5,36,97,36,,
Jomox,Alpha Base,Instrument channels,Rim Shot,The note number is added to the instrument's pitch; C1 (36) is the basic internal tuning.,6,36,97,36,,
Jomox,Alpha Base,Instrument channels,Crash,The note number is added to the instrument's pitch; C1 (36) is the basic internal tuning.,7,36,97,36,,
Jomox,Alpha Base,Instrument channels,Ride,The note number is added to the instrument's pitch; C1 (36) is the basic internal tuning.,8,36,97,36,,
Jomox,Alpha Base,Instrument channels,X1 Sample,The note number is added to the instrument's pitch; C1 (36) is the basic internal tuning.,9,36,97,36,,
Jomox,Alpha Base,Instrument channels,X2 Sample,The note number is added to the instrument's pitch; C1 (36) is the basic internal tuning.,10,36,97,36,,
Jomox,Alpha Base,Instrument channels,FM Synth,The note number is added to the instrument's pitch; C1 (36) is the basic internal tuning.,11,36,97,36,,
Jomox,Alpha Base,Keyboard mapping,Kick Drum,"The four notes add 0, 6, 12 and 18 semitones to the instrument's pitch.",16,36,39,36,,
Jomox,Alpha Base,Keyboard mapping,Snare Drum,"The four notes add 0, 6, 12 and 18 semitones to the instrument's pitch.",16,40,43,40,,
Jomox,Alpha Base,Keyboard mapping,Closed Hi Hat,"The four notes add 0, 6, 12 and 18 semitones to the instrument's pitch.",16,44,47,44,,
Jomox,Alpha Base,Keyboard mapping,Open Hi Hat,"The four notes add 0, 6, 12 and 18 semitones to the instrument's pitch.",16,48,51,48,,
Jomox,Alpha Base,Keyboard mapping,Clap,"The four notes add 0, 6, 12 and 18 semitones to the instrument's pitch.",16,52,55,52,,
Jomox,Alpha Base,Keyboard mapping,Rim Shot,"The four notes add 0, 6, 12 and 18 semitones to the instrument's pitch.",16,56,59,56,,
Jomox,Alpha Base,Keyboard mapping,Crash,"The four notes add 0, 6, 12 and 18 semitones to the instrument's pitch.",16,60,63,60,,
Jomox,Alpha Base,Keyboard mapping,Ride,"The four notes add 0, 6, 12 and 18 semitones to the instrument's pitch.",16,64,67,64,,
Jomox,Alpha Base,Keyboard mapping,X1 Sample,"The four notes add 0, 6, 12 and 18 semitones to the instrument's pitch.",16,68,71,68,,
Jomox,Alpha Base,Keyboard mapping,X2 Sample,"The four notes add 0, 6, 12 and 18 semitones to the instrument's pitch.",16,72,75,72,,
Jomox,Alpha Base,Keyboard mapping,FM Synth,"The four notes add 0, 6, 12 and 18 semitones to the instrument's pitch.",16,76,79,76,Plays a fixed chord in this mapping.,
